File name;Tag
byrds-wasnt_born_to_follow;boring
canned_heat-on_the_road_again;boring
cat_power-he_war;boring
charles_mingus-mood_indigo;boring
counting_crows-speedway;boring
crosby_stills_nash_and_young-teach_your_children;boring
dionne_warwick-walk_on_by;boring
donovan-catch_the_wind;boring
duran_duran-come_undone;boring
eric_clapton-wonderful_tonight;boring
grayson_wray-heaven_s_the_place;boring
jag-jag_s_rag;boring
moby-porcelain;boring
pet_shop_boys-being_boring;boring
pink_floyd-echoes;boring
randy_newman-sail_away;boring
sly_and_the_family_stone-just_like_a_baby;boring
smithereens-behind_the_wall_of_sleep;boring
zombies-beechwood_park;boring
10cc-for_you_and_i;calming
a_tribe_called_quest-bonita_applebum;calming
aaron_neville-tell_it_like_it_is;calming
american_music_club-jesus_hands;calming
anita_baker-caught_up_in_the_rapture;calming
arlo_guthrie-alices_restaurant_massacree;calming
b.b._king-sweet_little_angel;calming
beautiful_south-one_last_love_song;calming
belle_and_sebastian-like_dylan_in_the_movies;calming
blood_sweat_and_tears-sometimes_in_winter;calming
charles_mingus-mood_indigo;calming
counting_crows-speedway;calming
crosby_stills_nash_and_young-teach_your_children;calming
dionne_warwick-walk_on_by;calming
duran_duran-come_undone;calming
eric_clapton-wonderful_tonight;calming
james_taylor-fire_and_rain;calming
kourosh_zolani-peaceful_planet;calming
moby-porcelain;calming
neutral_milk_hotel-where_youll_find_me_now;calming
pet_shop_boys-being_boring;calming
pink_floyd-echoes;calming
randy_newman-sail_away;calming
sly_and_the_family_stone-just_like_a_baby;calming
smokey_robinson_and_the_miracles-ooo_baby_baby;calming
soul_ii_soul-keep_on_movin;calming
sundays-heres_where_the_story_ends;calming
syreeta-what_love_has_joined_together;calming
temptations-since_i_lost_my_baby;calming
zombies-beechwood_park;calming
2pac-trapped;catchy
ac_dc-dirty_deeds_done_dirt_cheap;catchy
aerosmith-dude_looks_like_a_lady;catchy
alicia_keys-fallin;catchy
andrews_sisters-boogie_woogie_bugle_boy;catchy
animals-im_crying;catchy
anita_baker-caught_up_in_the_rapture;catchy
ashford_and_simpson-solid;catchy
barry_white-cant_get_enough_of_your_love_babe;catchy
bay_city_rollers-saturday_night;catchy
beach_boys-i_get_around;catchy
beck-where_its_at;catchy
bee_gees-stayin_alive;catchy
bo_diddley-you_cant_judge_a_book_by_its_cover;catchy
bomb_the_bass-bug_powder_dust;catchy
boston-more_than_a_feeling;catchy
britney_spears-im_a_slave_for_you;catchy
buggles-video_killed_the_radio_star;catchy
cardigans-lovefool;catchy
contours-do_you_love_me;catchy
dionne_warwick-walk_on_by;catchy
erasure-chains_of_love;catchy
franz_ferdinand-come_on_home;catchy
gloria_gaynor-i_will_survive;catchy
jamiroquai-little_l;catchy
led_zeppelin-immigrant_song;catchy
madonna-ray_of_light;catchy
police-every_little_thing_she_does_is_magic;catchy
soul_ii_soul-keep_on_movin;catchy
steppenwolf-born_to_be_wild;catchy
temptations-since_i_lost_my_baby;catchy
white_stripes-hotel_yorba;catchy
who-bargain;catchy
aerosmith-dude_looks_like_a_lady;cheerful
andrews_sisters-boogie_woogie_bugle_boy;cheerful
antonio_carlos_jobim-wave;cheerful
bay_city_rollers-saturday_night;cheerful
beach_boys-i_get_around;cheerful
beck-where_its_at;cheerful
bee_gees-stayin_alive;cheerful
bo_diddley-you_cant_judge_a_book_by_its_cover;cheerful
boston-more_than_a_feeling;cheerful
buggles-video_killed_the_radio_star;cheerful
cardigans-lovefool;cheerful
cheap_trick-dream_police;cheerful
contours-do_you_love_me;cheerful
erasure-chains_of_love;cheerful
gloria_gaynor-i_will_survive;cheerful
jamiroquai-little_l;cheerful
men_at_work-who_can_it_be_now;cheerful
police-every_little_thing_she_does_is_magic;cheerful
ronettes-walking_in_the_rain;cheerful
sonny_rollins-strode_rode;cheerful
specials-gangsters;cheerful
steppenwolf-born_to_be_wild;cheerful
syreeta-what_love_has_joined_together;cheerful
white_stripes-hotel_yorba;cheerful
young_mc-bust_a_move;cheerful
2pac-trapped;depressed
a_tribe_called_quest-bonita_applebum;depressed
ac_dc-dirty_deeds_done_dirt_cheap;depressed
adam_and_the_ants-prince_charming;depressed
alice_cooper-elected;depressed
alicia_keys-fallin;depressed
american_music_club-jesus_hands;depressed
aphex_twin-come_to_daddy;depressed
artemis-don_t_look_back;depressed
b.b._king-sweet_little_angel;depressed
beautiful_south-one_last_love_song;depressed
beth_quist-survival;depressed
bomb_the_bass-bug_powder_dust;depressed
boogie_down_productions-the_bridge_is_over;depressed
byrds-wasnt_born_to_follow;depressed
cat_power-he_war;depressed
chemical_brothers-setting_sun;depressed
counting_crows-speedway;depressed
dionne_warwick-walk_on_by;depressed
duran_duran-come_undone;depressed
hybris-hate;depressed
ivilion-d_b_l;depressed
led_zeppelin-immigrant_song;depressed
moby-porcelain;depressed
mr_gelatine-knysnamushrooms;depressed
natalie_imbruglia-torn;depressed
neutral_milk_hotel-where_youll_find_me_now;depressed
pink_floyd-echoes;depressed
skitzo-last_depression;depressed
solace-laz_7_8;depressed
soulprint-crawlspace;depressed
spinecar-stay;depressed
strawbs-new_world;depressed
van_halen-aint_talkin_bout_love;depressed
10cc-for_you_and_i;emotional
2pac-trapped;emotional
alicia_keys-fallin;emotional
anita_baker-caught_up_in_the_rapture;emotional
ashford_and_simpson-solid;emotional
barry_white-cant_get_enough_of_your_love_babe;emotional
beck-where_its_at;emotional
bomb_the_bass-bug_powder_dust;emotional
canned_heat-on_the_road_again;emotional
contours-do_you_love_me;emotional
counting_crows-speedway;emotional
crosby_stills_nash_and_young-teach_your_children;emotional
dionne_warwick-walk_on_by;emotional
duran_duran-come_undone;emotional
erasure-chains_of_love;emotional
eric_clapton-wonderful_tonight;emotional
franz_ferdinand-come_on_home;emotional
gloria_gaynor-i_will_survive;emotional
james_taylor-fire_and_rain;emotional
men_at_work-who_can_it_be_now;emotional
natalie_imbruglia-torn;emotional
neutral_milk_hotel-where_youll_find_me_now;emotional
pet_shop_boys-being_boring;emotional
ronettes-walking_in_the_rain;emotional
sly_and_the_family_stone-just_like_a_baby;emotional
soul_ii_soul-keep_on_movin;emotional
soulprint-crawlspace;emotional
syreeta-what_love_has_joined_together;emotional
temptations-since_i_lost_my_baby;emotional
urge_overkill-sister_havana;emotional
van_halen-aint_talkin_bout_love;emotional
who-bargain;emotional
2pac-trapped;exciting
ac_dc-dirty_deeds_done_dirt_cheap;exciting
aerosmith-dude_looks_like_a_lady;exciting
andrews_sisters-boogie_woogie_bugle_boy;exciting
animals-im_crying;exciting
bay_city_rollers-saturday_night;exciting
bee_gees-stayin_alive;exciting
bo_diddley-you_cant_judge_a_book_by_its_cover;exciting
bomb_the_bass-bug_powder_dust;exciting
boogie_down_productions-the_bridge_is_over;exciting
boston-more_than_a_feeling;exciting
cheap_trick-dream_police;exciting
chemical_brothers-setting_sun;exciting
contours-do_you_love_me;exciting
franz_ferdinand-come_on_home;exciting
gloria_gaynor-i_will_survive;exciting
ivilion-d_b_l;exciting
jamiroquai-little_l;exciting
led_zeppelin-immigrant_song;exciting
propellerheads-take_california;exciting
sonny_rollins-strode_rode;exciting
soulprint-crawlspace;exciting
steppenwolf-born_to_be_wild;exciting
thursday_group-like_white_on_rice;exciting
u2-hold_me_thrill_me_kiss_me_kill_me;exciting
urge_overkill-sister_havana;exciting
who-bargain;exciting
beck-where_its_at;hanging with friends
cardigans-lovefool;hanging with friends
cat_power-he_war;hanging with friends
randy_newman-sail_away;hanging with friends
aerosmith-dude_looks_like_a_lady;happy
andrews_sisters-boogie_woogie_bugle_boy;happy
anita_baker-caught_up_in_the_rapture;happy
antonio_carlos_jobim-wave;happy
arlo_guthrie-alices_restaurant_massacree;happy
ashford_and_simpson-solid;happy
band-king_harvest_has_surely_come;happy
bay_city_rollers-saturday_night;happy
beck-where_its_at;happy
bee_gees-stayin_alive;happy
big_star-in_the_street;happy
bo_diddley-you_cant_judge_a_book_by_its_cover;happy
britney_spears-im_a_slave_for_you;happy
cardigans-lovefool;happy
cheap_trick-dream_police;happy
contours-do_you_love_me;happy
erasure-chains_of_love;happy
franz_ferdinand-come_on_home;happy
gloria_gaynor-i_will_survive;happy
jamiroquai-little_l;happy
madonna-ray_of_light;happy
men_at_work-who_can_it_be_now;happy
police-every_little_thing_she_does_is_magic;happy
propellerheads-take_california;happy
ronettes-walking_in_the_rain;happy
sonny_rollins-strode_rode;happy
specials-gangsters;happy
steppenwolf-born_to_be_wild;happy
sundays-heres_where_the_story_ends;happy
syreeta-what_love_has_joined_together;happy
white_stripes-hotel_yorba;happy
zombies-beechwood_park;happy
2pac-trapped;indifferent
a_tribe_called_quest-bonita_applebum;indifferent
ac_dc-dirty_deeds_done_dirt_cheap;indifferent
adam_and_the_ants-prince_charming;indifferent
aerosmith-dude_looks_like_a_lady;indifferent
alice_cooper-elected;indifferent
animals-im_crying;indifferent
aphex_twin-come_to_daddy;indifferent
artemis-don_t_look_back;indifferent
b.b._king-sweet_little_angel;indifferent
bay_city_rollers-saturday_night;indifferent
beach_boys-i_get_around;indifferent
beck-where_its_at;indifferent
belle_and_sebastian-like_dylan_in_the_movies;indifferent
beth_quist-survival;indifferent
big_star-in_the_street;indifferent
boogie_down_productions-the_bridge_is_over;indifferent
buggles-video_killed_the_radio_star;indifferent
byrds-wasnt_born_to_follow;indifferent
canned_heat-on_the_road_again;indifferent
cat_power-he_war;indifferent
cheap_trick-dream_police;indifferent
chemical_brothers-setting_sun;indifferent
contours-do_you_love_me;indifferent
domased-too_slow;indifferent
hybris-hate;indifferent
ivilion-d_b_l;indifferent
jag-jag_s_rag;indifferent
kourosh_zolani-peaceful_planet;indifferent
led_zeppelin-immigrant_song;indifferent
madonna-ray_of_light;indifferent
men_at_work-who_can_it_be_now;indifferent
mr_gelatine-knysnamushrooms;indifferent
pink_floyd-echoes;indifferent
propellerheads-take_california;indifferent
skitzo-last_depression;indifferent
smithereens-behind_the_wall_of_sleep;indifferent
solace-laz_7_8;indifferent
soulprint-crawlspace;indifferent
specials-gangsters;indifferent
spinecar-stay;indifferent
steppenwolf-born_to_be_wild;indifferent
thursday_group-like_white_on_rice;indifferent
u2-hold_me_thrill_me_kiss_me_kill_me;indifferent
urge_overkill-sister_havana;indifferent
van_halen-aint_talkin_bout_love;indifferent
white_stripes-hotel_yorba;indifferent
10cc-for_you_and_i;mellow
a_tribe_called_quest-bonita_applebum;mellow
american_music_club-jesus_hands;mellow
anita_baker-caught_up_in_the_rapture;mellow
antonio_carlos_jobim-wave;mellow
arlo_guthrie-alices_restaurant_massacree;mellow
beautiful_south-one_last_love_song;mellow
belle_and_sebastian-like_dylan_in_the_movies;mellow
blood_sweat_and_tears-sometimes_in_winter;mellow
burnshee_thornside-goodbye_on_a_beautiful_day;mellow
canned_heat-on_the_road_again;mellow
cardigans-lovefool;mellow
charles_mingus-mood_indigo;mellow
donovan-catch_the_wind;mellow
eric_clapton-wonderful_tonight;mellow
james_taylor-fire_and_rain;mellow
moby-porcelain;mellow
pet_shop_boys-being_boring;mellow
pink_floyd-echoes;mellow
randy_newman-sail_away;mellow
sly_and_the_family_stone-just_like_a_baby;mellow
soul_ii_soul-keep_on_movin;mellow
sundays-heres_where_the_story_ends;mellow
temptations-since_i_lost_my_baby;mellow
zombies-beechwood_park;mellow
10cc-for_you_and_i;not angry - agressive
a_tribe_called_quest-bonita_applebum;not angry - agressive
aaron_neville-tell_it_like_it_is;not angry - agressive
alicia_keys-fallin;not angry - agressive
american_music_club-jesus_hands;not angry - agressive
andrews_sisters-boogie_woogie_bugle_boy;not angry - agressive
animals-im_crying;not angry - agressive
anita_baker-caught_up_in_the_rapture;not angry - agressive
antonio_carlos_jobim-wave;not angry - agressive
arlo_guthrie-alices_restaurant_massacree;not angry - agressive
artemis-don_t_look_back;not angry - agressive
ashford_and_simpson-solid;not angry - agressive
b.b._king-sweet_little_angel;not angry - agressive
barry_white-cant_get_enough_of_your_love_babe;not angry - agressive
bay_city_rollers-saturday_night;not angry - agressive
beach_boys-i_get_around;not angry - agressive
beautiful_south-one_last_love_song;not angry - agressive
bee_gees-stayin_alive;not angry - agressive
belle_and_sebastian-like_dylan_in_the_movies;not angry - agressive
beth_quist-survival;not angry - agressive
big_star-in_the_street;not angry - agressive
blood_sweat_and_tears-sometimes_in_winter;not angry - agressive
bo_diddley-you_cant_judge_a_book_by_its_cover;not angry - agressive
boston-more_than_a_feeling;not angry - agressive
britney_spears-im_a_slave_for_you;not angry - agressive
buggles-video_killed_the_radio_star;not angry - agressive
burnshee_thornside-goodbye_on_a_beautiful_day;not angry - agressive
canned_heat-on_the_road_again;not angry - agressive
cardigans-lovefool;not angry - agressive
charles_mingus-mood_indigo;not angry - agressive
contours-do_you_love_me;not angry - agressive
counting_crows-speedway;not angry - agressive
crosby_stills_nash_and_young-teach_your_children;not angry - agressive
dionne_warwick-walk_on_by;not angry - agressive
domased-too_slow;not angry - agressive
donovan-catch_the_wind;not angry - agressive
duran_duran-come_undone;not angry - agressive
erasure-chains_of_love;not angry - agressive
eric_clapton-wonderful_tonight;not angry - agressive
franz_ferdinand-come_on_home;not angry - agressive
grayson_wray-heaven_s_the_place;not angry - agressive
jag-jag_s_rag;not angry - agressive
james_taylor-fire_and_rain;not angry - agressive
jamiroquai-little_l;not angry - agressive
kourosh_zolani-peaceful_planet;not angry - agressive
madonna-ray_of_light;not angry - agressive
moby-porcelain;not angry - agressive
mr_gelatine-knysnamushrooms;not angry - agressive
pet_shop_boys-being_boring;not angry - agressive
pink_floyd-echoes;not angry - agressive
police-every_little_thing_she_does_is_magic;not angry - agressive
randy_newman-sail_away;not angry - agressive
ronettes-walking_in_the_rain;not angry - agressive
sinad_oconnor-no_mans_woman;not angry - agressive
sly_and_the_family_stone-just_like_a_baby;not angry - agressive
smithereens-behind_the_wall_of_sleep;not angry - agressive
smokey_robinson_and_the_miracles-ooo_baby_baby;not angry - agressive
solace-laz_7_8;not angry - agressive
sonny_rollins-strode_rode;not angry - agressive
soul_ii_soul-keep_on_movin;not angry - agressive
specials-gangsters;not angry - agressive
steppenwolf-born_to_be_wild;not angry - agressive
stranglers-golden_brown;not angry - agressive
sundays-heres_where_the_story_ends;not angry - agressive
syreeta-what_love_has_joined_together;not angry - agressive
temptations-since_i_lost_my_baby;not angry - agressive
urge_overkill-sister_havana;not angry - agressive
young_mc-bust_a_move;not angry - agressive
zombies-beechwood_park;not angry - agressive
2pac-trapped;not calming
ac_dc-dirty_deeds_done_dirt_cheap;not calming
adam_and_the_ants-prince_charming;not calming
aerosmith-dude_looks_like_a_lady;not calming
alice_cooper-elected;not calming
animals-im_crying;not calming
aphex_twin-come_to_daddy;not calming
bay_city_rollers-saturday_night;not calming
beach_boys-i_get_around;not calming
bee_gees-stayin_alive;not calming
bomb_the_bass-bug_powder_dust;not calming
boogie_down_productions-the_bridge_is_over;not calming
boston-more_than_a_feeling;not calming
cat_power-he_war;not calming
chemical_brothers-setting_sun;not calming
contours-do_you_love_me;not calming
domased-too_slow;not calming
erasure-chains_of_love;not calming
franz_ferdinand-come_on_home;not calming
gloria_gaynor-i_will_survive;not calming
led_zeppelin-immigrant_song;not calming
men_at_work-who_can_it_be_now;not calming
propellerheads-take_california;not calming
skitzo-last_depression;not calming
smithereens-behind_the_wall_of_sleep;not calming
soulprint-crawlspace;not calming
spinecar-stay;not calming
strawbs-new_world;not calming
u2-hold_me_thrill_me_kiss_me_kill_me;not calming
urge_overkill-sister_havana;not calming
van_halen-aint_talkin_bout_love;not calming
2pac-trapped;not happy
aaron_neville-tell_it_like_it_is;not happy
adam_and_the_ants-prince_charming;not happy
aphex_twin-come_to_daddy;not happy
artemis-don_t_look_back;not happy
beautiful_south-one_last_love_song;not happy
belle_and_sebastian-like_dylan_in_the_movies;not happy
beth_quist-survival;not happy
blood_sweat_and_tears-sometimes_in_winter;not happy
canned_heat-on_the_road_again;not happy
cat_power-he_war;not happy
charles_mingus-mood_indigo;not happy
chemical_brothers-setting_sun;not happy
counting_crows-speedway;not happy
dionne_warwick-walk_on_by;not happy
duran_duran-come_undone;not happy
hybris-hate;not happy
ivilion-d_b_l;not happy
james_taylor-fire_and_rain;not happy
natalie_imbruglia-torn;not happy
pink_floyd-echoes;not happy
skitzo-last_depression;not happy
sly_and_the_family_stone-just_like_a_baby;not happy
soulprint-crawlspace;not happy
spinecar-stay;not happy
strawbs-new_world;not happy
thursday_group-like_white_on_rice;not happy
a_tribe_called_quest-bonita_applebum;not sad
ac_dc-dirty_deeds_done_dirt_cheap;not sad
aerosmith-dude_looks_like_a_lady;not sad
alice_cooper-elected;not sad
andrews_sisters-boogie_woogie_bugle_boy;not sad
anita_baker-caught_up_in_the_rapture;not sad
antonio_carlos_jobim-wave;not sad
arlo_guthrie-alices_restaurant_massacree;not sad
artemis-don_t_look_back;not sad
ashford_and_simpson-solid;not sad
band-king_harvest_has_surely_come;not sad
bay_city_rollers-saturday_night;not sad
beach_boys-i_get_around;not sad
bee_gees-stayin_alive;not sad
belle_and_sebastian-like_dylan_in_the_movies;not sad
big_star-in_the_street;not sad
bo_diddley-you_cant_judge_a_book_by_its_cover;not sad
boston-more_than_a_feeling;not sad
britney_spears-im_a_slave_for_you;not sad
buggles-video_killed_the_radio_star;not sad
byrds-wasnt_born_to_follow;not sad
cheap_trick-dream_police;not sad
contours-do_you_love_me;not sad
domased-too_slow;not sad
franz_ferdinand-come_on_home;not sad
gloria_gaynor-i_will_survive;not sad
jag-jag_s_rag;not sad
jamiroquai-little_l;not sad
kourosh_zolani-peaceful_planet;not sad
madonna-ray_of_light;not sad
men_at_work-who_can_it_be_now;not sad
mr_gelatine-knysnamushrooms;not sad
propellerheads-take_california;not sad
ronettes-walking_in_the_rain;not sad
solace-laz_7_8;not sad
sonny_rollins-strode_rode;not sad
specials-gangsters;not sad
steppenwolf-born_to_be_wild;not sad
u2-hold_me_thrill_me_kiss_me_kill_me;not sad
urge_overkill-sister_havana;not sad
van_halen-aint_talkin_bout_love;not sad
white_stripes-hotel_yorba;not sad
who-bargain;not sad
young_mc-bust_a_move;not sad
zombies-beechwood_park;not sad
10cc-for_you_and_i;pleasant
alicia_keys-fallin;pleasant
andrews_sisters-boogie_woogie_bugle_boy;pleasant
anita_baker-caught_up_in_the_rapture;pleasant
antonio_carlos_jobim-wave;pleasant
arlo_guthrie-alices_restaurant_massacree;pleasant
ashford_and_simpson-solid;pleasant
b.b._king-sweet_little_angel;pleasant
bay_city_rollers-saturday_night;pleasant
bee_gees-stayin_alive;pleasant
belle_and_sebastian-like_dylan_in_the_movies;pleasant
big_star-in_the_street;pleasant
blood_sweat_and_tears-sometimes_in_winter;pleasant
bo_diddley-you_cant_judge_a_book_by_its_cover;pleasant
burnshee_thornside-goodbye_on_a_beautiful_day;pleasant
cardigans-lovefool;pleasant
charles_mingus-mood_indigo;pleasant
contours-do_you_love_me;pleasant
crosby_stills_nash_and_young-teach_your_children;pleasant
donovan-catch_the_wind;pleasant
duran_duran-come_undone;pleasant
gloria_gaynor-i_will_survive;pleasant
james_taylor-fire_and_rain;pleasant
kourosh_zolani-peaceful_planet;pleasant
men_at_work-who_can_it_be_now;pleasant
moby-porcelain;pleasant
pet_shop_boys-being_boring;pleasant
police-every_little_thing_she_does_is_magic;pleasant
sly_and_the_family_stone-just_like_a_baby;pleasant
smokey_robinson_and_the_miracles-ooo_baby_baby;pleasant
sonny_rollins-strode_rode;pleasant
soul_ii_soul-keep_on_movin;pleasant
specials-gangsters;pleasant
sundays-heres_where_the_story_ends;pleasant
syreeta-what_love_has_joined_together;pleasant
zombies-beechwood_park;pleasant
andrews_sisters-boogie_woogie_bugle_boy;positive
anita_baker-caught_up_in_the_rapture;positive
antonio_carlos_jobim-wave;positive
ashford_and_simpson-solid;positive
barry_white-cant_get_enough_of_your_love_babe;positive
bay_city_rollers-saturday_night;positive
beach_boys-i_get_around;positive
bee_gees-stayin_alive;positive
bo_diddley-you_cant_judge_a_book_by_its_cover;positive
boston-more_than_a_feeling;positive
burnshee_thornside-goodbye_on_a_beautiful_day;positive
cardigans-lovefool;positive
contours-do_you_love_me;positive
erasure-chains_of_love;positive
james_taylor-fire_and_rain;positive
jamiroquai-little_l;positive
madonna-ray_of_light;positive
men_at_work-who_can_it_be_now;positive
police-every_little_thing_she_does_is_magic;positive
ronettes-walking_in_the_rain;positive
sonny_rollins-strode_rode;positive
soul_ii_soul-keep_on_movin;positive
syreeta-what_love_has_joined_together;positive
white_stripes-hotel_yorba;positive
aerosmith-dude_looks_like_a_lady;positive feelings
andrews_sisters-boogie_woogie_bugle_boy;positive feelings
anita_baker-caught_up_in_the_rapture;positive feelings
arlo_guthrie-alices_restaurant_massacree;positive feelings
ashford_and_simpson-solid;positive feelings
b.b._king-sweet_little_angel;positive feelings
band-king_harvest_has_surely_come;positive feelings
barry_white-cant_get_enough_of_your_love_babe;positive feelings
bay_city_rollers-saturday_night;positive feelings
beach_boys-i_get_around;positive feelings
beck-where_its_at;positive feelings
bee_gees-stayin_alive;positive feelings
big_star-in_the_street;positive feelings
blood_sweat_and_tears-sometimes_in_winter;positive feelings
bo_diddley-you_cant_judge_a_book_by_its_cover;positive feelings
boston-more_than_a_feeling;positive feelings
britney_spears-im_a_slave_for_you;positive feelings
burnshee_thornside-goodbye_on_a_beautiful_day;positive feelings
cardigans-lovefool;positive feelings
contours-do_you_love_me;positive feelings
donovan-catch_the_wind;positive feelings
duran_duran-come_undone;positive feelings
erasure-chains_of_love;positive feelings
jamiroquai-little_l;positive feelings
madonna-ray_of_light;positive feelings
men_at_work-who_can_it_be_now;positive feelings
moby-porcelain;positive feelings
police-every_little_thing_she_does_is_magic;positive feelings
ronettes-walking_in_the_rain;positive feelings
solace-laz_7_8;positive feelings
sonny_rollins-strode_rode;positive feelings
steppenwolf-born_to_be_wild;positive feelings
syreeta-what_love_has_joined_together;positive feelings
white_stripes-hotel_yorba;positive feelings
10cc-for_you_and_i;relax
a_tribe_called_quest-bonita_applebum;relax
aaron_neville-tell_it_like_it_is;relax
american_music_club-jesus_hands;relax
anita_baker-caught_up_in_the_rapture;relax
antonio_carlos_jobim-wave;relax
arlo_guthrie-alices_restaurant_massacree;relax
belle_and_sebastian-like_dylan_in_the_movies;relax
beth_quist-survival;relax
blood_sweat_and_tears-sometimes_in_winter;relax
burnshee_thornside-goodbye_on_a_beautiful_day;relax
byrds-wasnt_born_to_follow;relax
cat_power-he_war;relax
charles_mingus-mood_indigo;relax
counting_crows-speedway;relax
crosby_stills_nash_and_young-teach_your_children;relax
dionne_warwick-walk_on_by;relax
donovan-catch_the_wind;relax
eric_clapton-wonderful_tonight;relax
grayson_wray-heaven_s_the_place;relax
james_taylor-fire_and_rain;relax
pet_shop_boys-being_boring;relax
randy_newman-sail_away;relax
sly_and_the_family_stone-just_like_a_baby;relax
temptations-since_i_lost_my_baby;relax
zombies-beechwood_park;relax
alicia_keys-fallin;romantic
anita_baker-caught_up_in_the_rapture;romantic
antonio_carlos_jobim-wave;romantic
ashford_and_simpson-solid;romantic
barry_white-cant_get_enough_of_your_love_babe;romantic
blood_sweat_and_tears-sometimes_in_winter;romantic
duran_duran-come_undone;romantic
erasure-chains_of_love;romantic
eric_clapton-wonderful_tonight;romantic
police-every_little_thing_she_does_is_magic;romantic
ronettes-walking_in_the_rain;romantic
sly_and_the_family_stone-just_like_a_baby;romantic
smokey_robinson_and_the_miracles-ooo_baby_baby;romantic
soul_ii_soul-keep_on_movin;romantic
syreeta-what_love_has_joined_together;romantic
temptations-since_i_lost_my_baby;romantic
2pac-trapped;rough
a_tribe_called_quest-bonita_applebum;rough
ac_dc-dirty_deeds_done_dirt_cheap;rough
adam_and_the_ants-prince_charming;rough
aerosmith-dude_looks_like_a_lady;rough
alice_cooper-elected;rough
andrews_sisters-boogie_woogie_bugle_boy;rough
animals-im_crying;rough
aphex_twin-come_to_daddy;rough
b.b._king-sweet_little_angel;rough
band-king_harvest_has_surely_come;rough
bay_city_rollers-saturday_night;rough
beach_boys-i_get_around;rough
bee_gees-stayin_alive;rough
bomb_the_bass-bug_powder_dust;rough
boogie_down_productions-the_bridge_is_over;rough
boston-more_than_a_feeling;rough
buggles-video_killed_the_radio_star;rough
cat_power-he_war;rough
cheap_trick-dream_police;rough
chemical_brothers-setting_sun;rough
contours-do_you_love_me;rough
domased-too_slow;rough
franz_ferdinand-come_on_home;rough
gloria_gaynor-i_will_survive;rough
grayson_wray-heaven_s_the_place;rough
hybris-hate;rough
ivilion-d_b_l;rough
jag-jag_s_rag;rough
led_zeppelin-immigrant_song;rough
madonna-ray_of_light;rough
men_at_work-who_can_it_be_now;rough
mr_gelatine-knysnamushrooms;rough
olivia_tremor_control-i_have_been_floated;rough
propellerheads-take_california;rough
skitzo-last_depression;rough
smithereens-behind_the_wall_of_sleep;rough
solace-laz_7_8;rough
soulprint-crawlspace;rough
specials-gangsters;rough
spinecar-stay;rough
steppenwolf-born_to_be_wild;rough
strawbs-new_world;rough
u2-hold_me_thrill_me_kiss_me_kill_me;rough
urge_overkill-sister_havana;rough
van_halen-aint_talkin_bout_love;rough
who-bargain;rough
young_mc-bust_a_move;rough
beautiful_south-one_last_love_song;sad
cat_power-he_war;sad
charles_mingus-mood_indigo;sad
counting_crows-speedway;sad
dionne_warwick-walk_on_by;sad
